"household_id","hh_income","n_members","units_consumption","hh_composition","poverty"
258,8985.1,2,1,6,0
259,12106.63,2,1.5,7,1
261,9820.3,2,1,6,0
262,43114.8,1,2.1,12,0
263,14662.4,2,1.5,8,0
264,25465.9,2,1.8,11,0
265,9928,1,1,3,0
266,18759.9,2,2.3,12,1
267,21925.88,2,2.3,14,0
268,14081.8,2,1,2,0
269,37525,1,2.5,12,0
270,37128.4,2,1.5,7,0
271,7006.7,1,1.8,11,1
272,29253.6,2,2.5,14,0
273,34854.9,1,1.8,11,0
274,21872.6,2,1.5,8,0
275,17272.9,2,2,9,1
276,12728.5,2,1.8,11,1
277,14043.6,1,1.8,11,1
278,10291.22,2,2,11,1
279,14460.1,1,1.8,11,1
280,18485.3,2,1.5,7,0
281,18866.9,1,1.5,7,0
282,34457.38,2,2.5,9,0
283,29672.9,2,2,9,0
284,9823.11,2,1,2,0
285,59307.74,2,1.5,8,0
286,9535,1,1.5,7,1
287,19900.82,1,2,9,0
289,15005.5,2,1.5,8,0
290,13619.9,2,1.5,8,0
291,10353.9,2,2.1,12,1
292,6352.1,1,1.5,8,1
293,36397.7,2,2.4,13,0
294,19505,2,2.3,12,1
295,10235.1,1,1,6,0
296,24750.8,2,1.8,11,0
298,33482.4,2,1.5,8,0
299,21862.4,2,1.5,7,0
300,16089.53,1,1,1,0
301,9798.9,2,1.5,7,1
302,65024.7,2,1.5,7,0
303,19849.8,2,1,2,0
304,17547.5,2,1.5,7,0
305,17414.7,2,2.5,14,1
306,11922.7,2,1,6,0
307,33231.7,1,2.5,9,0
308,9837.7,1,1.8,11,1
309,10975.9,2,1.5,7,1
310,8776.5,1,1,3,1
312,25397.8,2,2,9,0
313,11261.76,2,1,3,0
314,17461.6,2,1.8,11,0
315,16264.65,2,1.5,8,0
316,42813.3,2,2,9,0
317,77072.6,2,2.5,9,0
319,45617.2,2,2,9,0
320,30705.1,2,2.1,12,0
321,38768.5,1,2.5,12,0
322,39964.2,2,1.5,8,0
325,41732.6,2,2,9,0
327,12440.1,2,1.5,7,1
329,51048.4,2,2.8,14,0
330,63981.67,1,2,9,0
331,16941.44,2,1.5,7,0
332,42399.1,1,2.1,12,0
333,27701.9,2,1.5,7,0
335,1426.8,2,1.3,10,1
336,46567.1,2,1.5,7,0
339,50454.01,2,2.3,12,0
340,37399,2,1.5,8,0
341,32272.3,2,2.3,12,0
342,6650.9,1,1,6,1
344,13056,2,1.5,7,1
345,10787,2,1,6,0
346,35859.25,2,2,11,0
348,21095.9,2,1.5,7,0
349,21711.2,1,1,6,0
353,40560.8,1,1,3,0
354,12751.5,2,1,5,0
355,10077.4,1,2.1,12,1
356,19773.6,1,2,11,0
357,27728.2,2,1.5,7,0
358,21748.4,2,1.8,11,0
360,8855.4,2,1,6,1
361,29166.1,1,2.3,14,0
363,46009.3,2,1.8,11,0
364,28949.3,2,1.8,11,0
366,16317.6,2,1,6,0
368,35184.7,2,2,11,0
369,90543.62,2,2,9,0
371,48265.8,2,2.3,14,0
372,41960.7,2,2.8,14,0
374,13944.5,2,1.5,8,0
375,45774.1,2,2.5,9,0
376,42598.3,2,2.5,9,0
377,53469.3,2,2.5,14,0
378,48175,2,2.5,12,0
379,57539.4,1,2.5,12,0
380,15835,2,1.5,7,0
381,10535,2,1,6,0
382,15589.06,2,1.5,10,0
383,45285.9,2,1.5,8,0
384,34694.7,1,1.8,11,0
387,51419.3,2,2,9,0
390,16267,2,1,6,0
391,76832.3,2,1.5,7,0
392,21995.3,2,1.5,7,0
394,26723.6,2,1.8,11,0
395,16779.2,2,2.6,13,1
397,12021,2,1.5,7,1
398,29660.6,2,1,2,0
400,5521.43,1,1,3,1
403,5687.1,2,1,6,1
404,20442.9,2,1.8,11,0
405,8999,2,2.1,12,1
407,21599.5,2,1,5,0
408,28671.47,2,2,9,0
409,56238.1,2,2,9,0
410,22707.9,2,3.5,14,1
411,25445.6,2,1.5,7,0
412,20786.8,1,1.5,7,0
413,22968.5,2,1,3,0
414,7431.6,1,1.5,8,1
416,20662.3,2,1.5,7,0
417,39721.86,2,2,9,0
418,37522.8,2,2,9,0
419,27743.2,2,1.8,11,0
420,17536.7,2,2.5,14,1
421,27712.4,2,2.5,14,0
422,21099.4,2,1,6,0
423,64961.7,2,2,9,0
424,34562.2,2,1.5,7,0
425,37860.7,2,1.5,7,0
426,25523.5,2,1,6,0
428,6071.8,2,2.1,12,1
430,28454.17,2,1.5,7,0
431,14659.1,2,1.5,10,0
432,35385.83,2,1.5,7,0
435,86846.6,2,1.5,8,0
439,22942.8,2,2.9,14,1
440,83288.2,2,1.5,7,0
441,11869.5,2,1,1,0
442,79330.1,2,2.3,14,0
443,14914.2,2,1,5,0
445,2852.56,2,1,6,1
446,0,1,1.3,10,1
448,16164.9,2,1,2,0
449,81152.8,2,2.4,13,0
450,117679.93,1,3.1,14,0
451,147847.5,1,3.6,13,0
452,24026.82,1,2,10,0
453,58273.8,2,1.5,7,0
455,32958.6,2,1.8,11,0
457,31576.5,2,1,6,0
458,20564.5,2,1.8,11,0
460,64026.6,2,1.5,8,0
461,21811.9,2,1.6,10,0
463,61466.9,2,2.4,13,0
466,18754.1,2,1.5,8,0
467,68943.4,2,2.5,12,0
468,18357.8,2,1.5,7,0
469,30119.2,2,2.1,12,0
470,9440.5,2,1,6,0
472,9349,2,1,3,0
473,39760.28,2,2,9,0
474,22944.3,2,1,3,0
475,9714.4,2,1,6,0
476,21998.4,2,1.5,7,0
480,39124.9,2,2.5,9,0
481,12432.6,1,1.3,10,0
482,14320.9,2,2.5,9,1
484,12488.9,2,1.5,8,1
485,22566.66,2,2.5,9,0
486,13528.7,2,1,5,0
487,46658.7,2,1.5,8,0
489,9054.1,2,2.3,12,1
490,8073.1,1,2.9,13,1
491,10811,1,2.8,14,1
492,37603.6,2,2.5,12,0
494,43272.2,2,1.5,8,0
495,76484.3,2,2,9,0
497,9278.6,1,2.4,13,1
499,14912.2,2,1,6,0
500,50610.2,2,2,9,0
501,29694.5,2,2.3,12,0
504,33197.5,2,1.5,7,0
506,20278,2,1.8,11,0
508,42999.9,2,2,9,0
509,47045.03,2,1.5,8,0
511,11683.7,2,2,9,1
514,46165.2,2,2,9,0
515,20118.7,2,2.1,12,0
520,43943.6,2,3.1,14,0
521,40996.7,2,1.5,8,0
523,36683,2,1.5,7,0
524,35540.1,2,1.5,7,0
525,54485.3,2,2.5,14,0
526,24285.8,2,1.5,7,0
527,12968.4,2,1.5,7,1
528,64409.8,2,1.5,8,0
529,45391.2,2,2,9,0
530,44698.3,2,2.1,12,0
531,7.2,2,1,6,1
532,16082,2,1,6,0
533,56338.8,2,2.1,12,0
534,24330.2,2,1.5,7,0
535,46179.6,2,2.1,12,0
536,24601.3,2,1.5,7,0
537,6377.4,1,3.3,14,1
539,25.87,1,1.5,7,1
540,31729,2,1.5,7,0
541,24623.3,2,1,5,0
543,17616.9,1,2,11,1
548,26772.97,2,1.5,7,0
552,29106.9,2,2.5,12,0
553,22334.4,2,1.5,7,0
554,22895.1,2,1.8,11,0
555,48919.1,2,1.8,11,0
556,27582.55,2,1.5,7,0
558,12394.3,2,2,10,1
559,17178.6,1,1,3,0
560,114396,2,2.5,12,0
561,60082.9,2,2,11,0
562,26302.9,2,1.3,10,0
563,67121.9,2,2.5,14,0
564,79410.5,1,2.3,12,0
565,10481.14,2,1.8,11,1
566,44358.3,2,1.5,7,0
568,22206.5,2,1.5,7,0
569,41881.2,2,2,9,0
570,131865.4,2,2,9,0
571,5216.1,2,1,6,1
572,30781.7,2,2,11,0
573,12645.63,2,1,3,0
574,8864.9,2,1,6,1
575,47565.3,2,1.8,11,0
580,39758.8,1,2.5,9,0
583,12838.2,2,1,6,0
584,10966.7,2,2.5,12,1
585,23171.8,2,1.5,7,0
587,20010.4,2,1.5,7,0
591,61473.1,2,2.9,14,0
593,70170.08,2,3.5,9,0
595,43180.45,2,2.5,14,0
601,122233.8,2,1.5,7,0
605,48433.2,2,1.8,11,0
606,50521.6,2,2.1,12,0
607,35610.9,2,1.5,7,0
608,30417.8,2,2,9,0
611,10214.9,2,1.5,8,1
613,49586.8,2,2,11,0
614,45223.2,2,2.1,12,0
615,29078.6,1,1.8,11,0
619,61598,2,1.5,7,0
621,12529.3,1,1,5,0
626,26630.9,2,1.3,10,0
627,23904.7,2,1.3,10,0
630,21451.1,2,1.5,7,0
631,13403.3,1,1.8,11,1
632,21849,2,2.1,12,0
636,12552.29,1,1.5,7,1
637,46188.5,1,2.5,9,0
639,44173.5,2,1.8,11,0
640,20115.6,2,1.5,7,0
643,112646.6,2,2,11,0
644,10141.3,2,1,5,0
646,8925.4,2,1,6,0
647,22839.55,2,2.5,14,0
648,6243.34,2,2.6,10,1
649,27858,2,1.5,8,0
650,17021.1,2,2.7,13,1
651,24892.1,1,2.6,13,0
652,16994.2,2,1,2,0
653,18391.9,1,2.3,12,1
654,9973.1,2,2.4,13,1
656,15255.19,2,1,5,0
657,46704.8,2,1.5,7,0
659,29374,2,1.5,7,0
660,13613.2,2,1,6,0
661,12600,2,2.4,13,1
663,24823.9,2,1.5,7,0
665,8813.8,2,1,6,1
667,26951,2,1.5,8,0
668,16647,2,2.5,12,1
669,3886.5,2,1,2,1
670,27859.9,1,1.8,11,0
671,25098.74,2,2.3,14,0
672,26751.8,2,1.8,11,0
673,34707.6,1,2.3,12,0
675,27978.6,2,1.5,7,0
676,26849.4,2,1,6,0
677,37127.4,1,2.3,12,0
678,9727.3,1,1.8,11,1
679,18518.7,2,1.5,8,0
680,8963,2,1.5,7,1
682,24468.93,2,2,9,0
684,8687.6,1,1,3,1
685,14125.6,2,1,2,0
686,19012.7,2,1.5,7,0
688,11283.1,2,1.5,7,1
690,7751.6,2,1,6,1
692,32386.06,2,2.1,12,0
693,24699.81,2,1.5,8,0
694,59000.36,2,1.5,7,0
695,51159.7,2,2.1,12,0
697,30438.3,2,2.3,12,0
698,39814.2,2,1.8,11,0
699,10192.7,2,1,6,0
700,28864.7,2,1.3,10,0
701,17906.97,2,1,6,0
702,61040.8,2,2.1,12,0
703,24976.6,2,1.8,11,0
704,19935.3,2,1.3,10,0
705,32702.2,2,2.4,13,0
707,7933,2,1,3,1
708,5196.2,2,1,2,1
709,15451.55,2,1.5,8,0
710,4912,2,1.5,7,1
711,2892.2,1,1,2,1
712,1951.6,1,1,4,1
713,10329.5,1,1,2,0
714,9000.7,2,1,6,0
715,12353.39,2,1.5,8,1
716,22967.7,2,1,1,0
717,2656.3,1,1,2,1
718,6034.5,2,1,6,1
719,16074.5,1,1.5,8,0
720,13626.2,1,2.8,14,1
721,11239.7,2,2.9,13,1
722,11766.9,1,2.1,12,1
723,30413.8,2,2,9,0
724,11446.6,2,1.5,7,1
725,20134,2,1.5,8,0
726,41653.4,2,1.5,8,0
727,11224.1,1,1.5,7,1
728,23278,2,1,3,0
730,8896.9,2,1,3,0
731,20050.6,2,1.8,11,0
732,9359.4,2,1,6,0
733,10579.1,2,1,6,0
734,3517.7,2,1.5,7,1
735,36701.7,1,1.5,7,0
736,4727.4,2,1,2,1
737,17077,1,1.5,7,0
738,18030.9,2,2.5,14,1
739,12820.4,2,1,3,0
740,25125.7,2,2,9,0
741,21767.34,2,2.5,14,1
742,21695.6,1,2,9,0
743,19577.5,2,2.5,12,1
744,9635,2,1,6,0
745,18355.5,2,2.1,12,1
746,17912.2,2,1.8,11,0
747,10351.6,2,1.3,10,1
748,8716.9,1,2,9,1
749,22727.72,2,2,9,0
750,20531.6,1,2.5,12,1
751,32212.2,2,2.1,12,0
752,22323.6,2,1,2,0
753,51566.3,2,3,9,0
754,16596.1,1,1.5,7,0
755,68361.1,2,2,9,0
756,9604.8,1,1,5,0
757,17451,2,1,3,0
762,8982.8,2,1,6,0
764,44360.8,2,2,9,0
765,46566.7,2,3.1,14,0
767,21181,2,1.5,7,0
769,11027.9,2,1.5,7,1
770,24586.2,2,2.1,12,0
774,36679.8,2,1.5,7,0
775,2832.6,2,1,2,1
776,1800,2,1.5,8,1
777,22145.5,2,2,9,0
778,21735.7,2,2.5,14,1
779,11854.9,2,1,6,0
780,21959,2,2,9,0
781,6842.7,2,1,5,1
782,4457.6,1,1.5,8,1
783,16895.4,2,1.8,11,0
784,24854.2,2,1.5,8,0
785,18196.1,2,1,2,0
786,8898.8,2,1,6,0
789,4596.2,2,2.5,12,1
791,23168.7,2,1.5,8,0
792,21017.1,2,2.3,12,0
794,41749.8,2,2,9,0
795,16864.4,2,1,6,0
796,59479,2,3.3,14,0
797,31060.9,2,1.8,11,0
800,19200,1,1.5,7,0
801,3932,2,1,5,1
802,54,1,1.5,8,1
803,34787.7,2,3.1,14,0
807,16276.67,1,1.5,8,0
808,22826.1,2,1,2,0
809,13663.6,2,2,9,1
810,8852.8,2,1,3,1
812,38128.29,2,2.5,14,0
814,18803.4,2,1.8,11,0
815,49751.59,2,1.8,11,0
816,37363.7,2,2,9,0
819,12055.6,2,1,2,0
820,8971.7,2,1,6,0
824,24780.67,2,2.5,12,0
826,19486,2,1,5,0
827,19061.6,1,1.5,8,0
828,71875.3,2,2,9,0
829,12885.53,2,1,2,0
830,46526.2,2,2.4,13,0
831,15928.95,2,2.1,12,1
832,21588.8,2,1,5,0
833,36234.1,2,2.1,12,0
834,43198.3,2,3,14,0
836,41413.6,2,2.1,12,0
837,24673.2,2,1,2,0
838,47814.3,2,2.3,12,0
839,23708.35,2,2.1,12,0
840,32536.7,2,1.8,11,0
845,13101.1,1,1.5,7,1
846,6918.7,2,1,6,1
847,20343.2,1,2,9,0
849,16579.4,1,2.1,12,1
850,25371.77,1,1.5,7,0
851,14002.9,2,2.8,13,1
852,11376,1,1.8,11,1
853,8474.9,1,1,6,1
854,48362.2,2,3,9,0
855,21573.9,2,2.5,14,1
856,11029.3,2,1.5,7,1
857,24094.5,2,1.8,11,0
858,18946.2,2,2.1,12,0
861,38710.1,2,2.1,12,0
862,16719.5,2,1.5,8,0
863,13101.87,2,1.8,11,1
864,24055.9,1,2.1,12,0
866,4236.5,2,2,11,1
867,13513.6,1,1.5,7,0
868,16461.9,2,1.8,11,0
869,11314.2,2,1.5,7,1
870,12843.2,1,1.5,7,1
871,40656.5,2,1.8,11,0
872,9075.6,2,1,3,0
873,12920.7,2,1,3,0
874,5962.8,2,1.5,10,1
875,8926.1,1,1,6,0
877,63927.2,2,2.3,12,0
879,28661.5,2,1.5,8,0
881,25874.9,2,1.5,7,0
883,22728.4,2,1.5,7,0
884,11042.5,2,2,9,1
885,11066.2,2,1.5,7,1
886,26857.97,2,1.5,7,0
887,19555.3,2,2.1,12,0
888,7838.3,2,2,9,1
890,18819.1,2,1.5,8,0
891,16029.1,2,1.8,11,0
892,28567.7,2,2.3,12,0
893,20986.9,1,2,9,0
894,16720.6,2,1.5,7,0
896,25338.1,2,2.1,12,0
897,7663.42,2,2,11,1
898,25636.6,2,2,9,0
899,21079.59,2,1.5,8,0
900,16788.5,2,1.8,11,0
901,10773.4,2,1.5,7,1
902,20195.8,2,1.5,8,0
904,17702,2,1.5,7,0
905,25847.4,2,1.5,7,0
906,54095.2,2,1.5,8,0
907,76832.1,2,3.5,9,0
909,20832.7,2,2.5,14,1
910,69617.2,2,2,9,0
912,8111.9,2,1.8,11,1
915,8870.6,2,1,6,1
916,37881.6,2,2,9,0
918,26234.2,2,2,9,0
919,20277.3,2,1.8,11,0
920,12453.5,2,2.5,12,1
922,15693.04,1,1.5,8,0
923,22026.7,2,2.1,12,0
924,34636.6,1,2,9,0
926,8691.6,1,2.3,12,1
927,2453.4,1,1,5,1
928,13422.4,1,2.3,14,1
929,2577.9,2,1.5,7,1
933,18544.7,2,1,5,0
935,17445.8,2,1,2,0
936,24008.24,2,2.1,12,0
937,7784.8,2,1,4,1
938,15768.4,2,1.5,7,0
939,15293.8,1,1,6,0
942,59569.3,2,1.6,10,0
943,83740,2,2.1,12,0
944,49405.6,2,3,9,0
945,32413.8,2,2.4,13,0
946,10502.47,2,1,6,0
949,39161.8,1,3.5,14,0
951,21275.6,2,1,6,0
953,19821.9,2,1,5,0
955,32077.9,2,1,6,0
956,9105.3,2,1,6,0
958,27541.9,2,1,6,0
960,46311.3,2,1.5,8,0
961,67350.8,2,2.1,12,0
963,8501.6,2,1,6,1
965,22272.2,2,1.5,7,0
966,30950.1,2,1.5,8,0
968,21108,2,2,9,0
969,26101.3,2,1,5,0
970,10362.4,2,1,2,0
971,39104.3,2,2.5,9,0
972,93816.45,2,3.5,9,0
974,37422.3,2,2,9,0
975,26145.9,2,1.5,7,0
976,19953.78,2,1.5,8,0
977,3622.2,1,1,6,1
978,59772.51,2,4.3,14,0
979,30439.8,2,1.6,10,0
980,37777.5,1,2.8,14,0
981,9739.5,1,1.5,7,1
982,7843.5,1,1.5,7,1
983,9812.8,2,1,6,0
984,23796.7,2,1.5,7,0
985,37986.3,1,2,9,0
986,13493.7,1,2.1,12,1
987,11822.3,1,1,3,0
988,15877.2,2,1.5,8,0
989,3262.6,2,1,6,1
990,24589.6,2,1.3,10,0
991,36332.9,2,2.1,12,0
992,20240,2,1.5,8,0
993,39810.9,2,1.5,8,0
994,24257.2,2,1.5,7,0
995,32924.6,2,3.1,14,0
996,27865.7,2,2,9,0
997,10915.4,2,1.5,7,1
998,49036.77,2,2,9,0
999,19357.7,2,1.5,7,0
1000,18532.9,1,2,9,0
1002,46751.4,1,2.5,9,0
1003,31864.4,1,1,2,0
1004,27418.7,2,2.1,12,0
1005,40757,1,2.5,9,0
1006,39380.8,2,2,9,0
1007,24356.1,1,1.5,7,0
1010,28219.9,2,2,9,0
1011,506.6,2,1.5,7,1
1012,35889.4,2,1.5,8,0
1013,25016.5,2,1.5,7,0
1015,15352.4,2,1,3,0
1016,28820.6,1,1.5,7,0
1017,24223.3,2,1,3,0
1021,17086.8,2,1.5,7,0
1022,21163.9,2,1.5,7,0
1023,62498,2,3,9,0
1024,25027.8,2,1.5,7,0
1025,66204,1,2,9,0
1026,16604.4,2,2.1,12,1
1027,18249.9,2,2,9,0
1029,67517.1,2,4.6,14,0
1030,28585.6,1,2,9,0
1031,44800,2,1.5,7,0
1032,22767.7,2,1,2,0
1033,27304.5,2,1.5,7,0
1035,9026.7,2,1,6,0
1036,10958.5,2,1.5,7,1
1037,45952.2,2,2.5,9,0
1038,59861.6,2,2.5,14,0
1039,32764.6,2,2.5,12,0
1040,17272.1,1,2.9,14,1
1041,91837.3,2,1.5,8,0
1045,29120,2,1.5,8,0
1046,18931.7,2,1.9,10,0
1047,43744.6,2,1.8,11,0
1048,23659.1,2,1.5,7,0
1049,12330.6,2,1.5,8,1
1050,9019.9,2,1.5,8,1
1051,27942.8,2,1.5,7,0
1052,7072.3,2,1,5,1
1053,27590.7,1,1.5,8,0
1054,23656.8,2,1.5,7,0
1056,23904.73,1,1,2,0
1057,3443.97,1,1,6,1
1059,24416.7,2,2,9,0
1065,11336.6,1,1.3,10,1
1068,45320.1,1,1.8,11,0
1069,34985.6,2,1.8,11,0
1071,17449.8,2,1,6,0
1072,30600.9,2,1.5,7,0
1074,13672.4,2,2.8,13,1
1075,23551.6,2,1,5,0
1076,23878.5,2,2.1,12,0
1077,3015.7,2,2,11,1
1078,12700.9,2,1,3,0
1080,13850.6,2,1,3,0
1082,50213.4,2,2,9,0
1083,40489.4,2,1.5,7,0
1084,26964.3,2,2,11,0
1085,28339,1,1.5,7,0
1087,35958.7,2,2.3,12,0
1088,28332.2,1,2.5,14,0
1091,10501.1,2,1,5,0
1093,20598.9,2,2,9,0
1094,36385,2,2,11,0
1095,38981,2,2,9,0
1096,52836.4,2,2.5,14,0
1097,8405.6,2,2,11,1
1098,0,2,1,1,1
1099,14386.1,2,2,9,1
1100,8991.7,1,1,6,0
1102,16020.4,2,1,2,0
1103,33221.1,1,1.5,8,0
1104,14571,1,2,9,1
1105,19365.8,2,1.5,7,0
1106,10464.6,1,2.8,14,1
1107,13606.9,2,1.8,11,1
1108,22467.6,2,1.5,7,0
1109,16914.3,2,1.5,7,0
1110,9313.9,2,1.5,7,1
1111,16322.76,2,1,2,0
1113,14053,2,2,11,1
1114,28016.9,2,2.5,14,0
1116,16868.7,2,2.6,13,1
1117,12288.1,2,2.1,12,1
1118,33210.4,2,1.8,11,0
1120,36405.4,2,1.5,8,0
1121,20661.8,2,1,2,0
1122,39427.7,2,1.8,11,0
1125,9470.9,2,1,6,0
1126,78982.4,2,2.5,9,0
1127,41461.5,2,2.1,12,0
1128,35783.3,2,1.5,7,0
1130,49488.5,2,1.5,8,0
1131,35541,2,2.1,12,0
1132,78069.4,2,2.6,13,0
1133,30643.6,2,1.5,8,0
1134,20640.1,2,1.5,8,0
1135,26125.2,2,1.5,7,0
1136,27749.8,2,1,2,0
